0,1,2
train_val_images/Plantae/Euphorbia maculata/a2f56c4db53aafaa46bb1239e5bd52b5.jpg,0,Plantae
train_val_images/Plantae/Plantago lanceolata/f9fa80b02cac8fd452706083cf7d8333.jpg,0,Plantae
train_val_images/Plantae/Gymnocarpium dryopteris/28ceeb99b58a29fc41eb9d4f1e290f21.jpg,0,Plantae
train_val_images/Plantae/Syringa vulgaris/56cee8aa8d5f8aaf14c093cf2d3f48bf.jpg,0,Plantae
train_val_images/Plantae/Rudbeckia hirta/7755946ba0841d7f3b52d5b831c25cbd.jpg,0,Plantae
train_val_images/Plantae/Mimulus guttatus/3ee10b52721e43011d560918c4f4c216.jpg,0,Plantae
train_val_images/Plantae/Asplenium oblongifolium/6dbd2babc637bfd2fe09ef56b89e2d83.jpg,0,Plantae
train_val_images/Plantae/Capsella bursa-pastoris/7bc37e3195c4ccd06b1ffe7dda69c796.jpg,0,Plantae
train_val_images/Plantae/Rubus fruticosus/74afd6803a0554ed0182e802775579f2.jpg,0,Plantae
train_val_images/Plantae/Cirsium texanum/1384067e0a3c6fb8659af65269da8318.jpg,0,Plantae
train_val_images/Plantae/Taxodium mucronatum/e34ee786bf7fb9896e192201c7334816.jpg,0,Plantae
train_val_images/Plantae/Botrypus virginianus/4d2e3d1645939c1527809c0dc66b743c.jpg,0,Plantae
train_val_images/Plantae/Ficus carica/b4bc53a6600772d40aad91528d8a3ab4.jpg,0,Plantae
train_val_images/Plantae/Echium vulgare/284eb46d12d1b1a7d7cb39026578b453.jpg,0,Plantae
train_val_images/Plantae/Anemone americana/6226ca8e0065638ad6d4112189c6faa4.jpg,0,Plantae
train_val_images/Plantae/Rubus odoratus/411eb8b4f03dab337e59012548d34bc8.jpg,0,Plantae
train_val_images/Plantae/Prunus virginiana/0cd22e139f4aee9f706e86a93bb42a63.jpg,0,Plantae
train_val_images/Plantae/Campanula rotundifolia/0969513030a911a57d381fb2a718052d.jpg,0,Plantae
train_val_images/Plantae/Hypericum perforatum/ff084d72b100fb3c250adf7f9971289e.jpg,0,Plantae
train_val_images/Plantae/Schinus terebinthifolius/ad185c8b78bd267d6a9c241bcd5dea03.jpg,0,Plantae
train_val_images/Plantae/Oxalis montana/de975f27cbede00693fe7a25a68f9cb9.jpg,0,Plantae
train_val_images/Plantae/Erysimum capitatum/008fb4aa2dab730617fecb69f2c2099d.jpg,0,Plantae
train_val_images/Plantae/Claytonia perfoliata/11ab830a9c18471145257ee0b1381a16.jpg,0,Plantae
train_val_images/Plantae/Ceanothus prostratus/1f37b7ab658b00bb631744a63ff24e60.jpg,0,Plantae
train_val_images/Plantae/Eriogonum fasciculatum/978445c001a13e5ea6899ffd03af0508.jpg,0,Plantae
train_val_images/Plantae/Picea rubens/17cd2b1ef2eb51dbe4399b06c3640e2c.jpg,0,Plantae
train_val_images/Plantae/Arundina graminifolia/bf3da425259e999765cf37e1930440dd.jpg,0,Plantae
train_val_images/Plantae/Euphorbia maculata/a21dddd645685090a87ba3fce31868b9.jpg,0,Plantae
train_val_images/Plantae/Fagus grandifolia/594d51d9824428ae41db78f69fd3fee9.jpg,0,Plantae
train_val_images/Plantae/Lonicera involucrata/7889413a7d14cef098733ffdef15a11b.jpg,0,Plantae
train_val_images/Plantae/Juniperus virginiana/d575cc3acc509589534797f323c58e90.jpg,0,Plantae
train_val_images/Plantae/Sequoia sempervirens/3c6b29a02165285ae0277dfbd8e5ff86.jpg,0,Plantae
train_val_images/Plantae/Mimulus guttatus/4f4010c39445ac221d318441d2fe1755.jpg,0,Plantae
train_val_images/Plantae/Melilotus albus/46e0523ef4c5175089d50164b7b138dd.jpg,0,Plantae
train_val_images/Plantae/Podophyllum peltatum/0af0ed6fa7e70cdc7a330d05ca36ef70.jpg,0,Plantae
train_val_images/Plantae/Corylus avellana/bba3eba527d56b5f9e105f0a24008071.jpg,0,Plantae
train_val_images/Plantae/Euphorbia cyathophora/cf7e31cc55d47903aa9656638261ebbc.jpg,0,Plantae
train_val_images/Plantae/Lathyrus vestitus/3b3d8ded8e0ed65ea2df745fd135c682.jpg,0,Plantae
train_val_images/Plantae/Solanum carolinense/e67cbcc17c625446818b706e0011d9da.jpg,0,Plantae
train_val_images/Plantae/Trientalis borealis/ec0e2b12726524122089362644363c51.jpg,0,Plantae
train_val_images/Plantae/Camassia scilloides/55e04b86c0b4a053d241e1d76d6a8ca3.jpg,0,Plantae
train_val_images/Plantae/Sherardia arvensis/fe39d3876312116941e8dda8d0353aa7.jpg,0,Plantae
train_val_images/Plantae/Alnus glutinosa/547f825bc30a1e5354490b2f7687e579.jpg,0,Plantae
train_val_images/Plantae/Picea rubens/5fbfd84eb83f51c2e8f4ffed490b7460.jpg,0,Plantae
train_val_images/Plantae/Viola rostrata/b428e42ee9059488855b8f80ac73882f.jpg,0,Plantae
train_val_images/Plantae/Linaria vulgaris/93699627797f7d4e3614d8c862f80d9e.jpg,0,Plantae
train_val_images/Plantae/Hieracium aurantiacum/f7c6ab8619eda774f42f0c547a06217e.jpg,0,Plantae
train_val_images/Plantae/Lupinus texensis/06228278243098c1d57931676b05cc00.jpg,0,Plantae
train_val_images/Plantae/Acer macrophyllum/6b0e785bbb1e7f51972bed0cb5d62313.jpg,0,Plantae
train_val_images/Plantae/Epilobium canum/b6dd6b4c49fde0b414c54155a3409585.jpg,0,Plantae
train_val_images/Plantae/Asclepias oenotheroides/73b5221238130bf2ef752583329803ba.jpg,0,Plantae
train_val_images/Plantae/Maianthemum racemosum/50b1fdf4530940bda3b577352581d42d.jpg,0,Plantae
train_val_images/Plantae/Stellaria media/756a9093b76c88f5fb9558834a25a440.jpg,0,Plantae
train_val_images/Plantae/Quercus kelloggii/8909bdf1f1f256aab859dca639bb26c1.jpg,0,Plantae
train_val_images/Plantae/Cocos nucifera/9985b8c868ac80e78c06fc9202ef82e6.jpg,0,Plantae
train_val_images/Plantae/Nothoscordum bivalve/e1732f5e1a3274daab0d7e6c8dd323e7.jpg,0,Plantae
train_val_images/Plantae/Asclepias tuberosa/6f9cb1071bcc4a46e6b320778c1b7b99.jpg,0,Plantae
train_val_images/Plantae/Vinca major/f7f5d6e7c91dec8795294412dfbcb5a5.jpg,0,Plantae
train_val_images/Plantae/Glandularia bipinnatifida/21528973de2eedfda7dbc6018970bb27.jpg,0,Plantae
train_val_images/Plantae/Pseudopanax arboreus/0e918134efd4531d8c17157992eb801d.jpg,0,Plantae
train_val_images/Plantae/Quercus agrifolia/3a27d9037135645edbbff871f816ae03.jpg,0,Plantae
train_val_images/Plantae/Lonicera maackii/a21cc58e10ede701809ac127de7d2df3.jpg,0,Plantae
train_val_images/Plantae/Callirhoe involucrata/b5af4ff597bf43e1f03b82704ce23b35.jpg,0,Plantae
train_val_images/Plantae/Phytolacca americana/bb970e871dce4689ac6ae30d1605a801.jpg,0,Plantae
train_val_images/Plantae/Phytolacca americana/6b7b96e483ed9c44a2ae1f9da25e828b.jpg,0,Plantae
train_val_images/Plantae/Hieracium aurantiacum/5291041663759db173d01ade264ac258.jpg,0,Plantae
train_val_images/Plantae/Quercus nigra/8a299cd57d56c5b48f532c6fe7ada057.jpg,0,Plantae
train_val_images/Plantae/Prunus virginiana/54136885932a6302d4d5286ffd618da1.jpg,0,Plantae
train_val_images/Plantae/Mimulus guttatus/5bd10c2d6a90a5de64b3509feed3f7a3.jpg,0,Plantae
train_val_images/Plantae/Helianthus annuus/ec7d99c0bddf9705c09038cc196cd977.jpg,0,Plantae
train_val_images/Plantae/Pinus strobus/23da64703def7c21cb8829d9f5f50fc5.jpg,0,Plantae
train_val_images/Plantae/Tillandsia usneoides/0515a5ccb5f352840b501640d5e28f6e.jpg,0,Plantae
train_val_images/Plantae/Oenothera speciosa/1295bccb6199b84ef3a4f3d0a7fd63a9.jpg,0,Plantae
